Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_003456975.1	ASM345697v1	Clostridioides difficile		DSM 102859					GCF_003456975.1-RS_2025_03_07	Complete Genome	2018-09-05		1
GCF_019095765.1	ASM1909576v1	Clostridioides difficile					MAR286		GCF_019095765.1-RS_2025_02_28	Complete Genome	2021-07-02		1
GCF_003095695.1	ASM309569v1	Clostridioides difficile		CDT4					GCF_003095695.1-RS_2025_02_28	Complete Genome	2018-05-06		2
GCF_003482345.1	ASM348234v1	Clostridioides difficile		DSM 29745					GCF_003482345.1-RS_2025_02_28	Complete Genome	2018-09-06		1
GCF_024972415.1	ASM2497241v1	Clostridioides difficile		G89					GCF_024972415.1-RS_2025_02_28	Complete Genome	2022-09-06		2
GCF_024972115.1	ASM2497211v1	Clostridioides difficile		SH					GCF_024972115.1-RS_2025_02_28	Complete Genome	2022-09-06		2
GCF_037941005.1	ASM3794100v1	Clostridioides difficile		Z1322HCD0031					GCF_037941005.1-RS_2025_04_13	Complete Genome	2024-04-06		5
GCF_022695655.1	ASM2269565v1	Clostridioides difficile		CDB					GCF_022695655.1-RS_2025_02_28	Complete Genome	2022-03-25		1
GCF_025758205.1	ASM2575820v1	Clostridioides difficile		R_phiCD75-3					GCF_025758205.1-RS_2025_02_28	Complete Genome	2022-10-19		1
GCF_018884925.1	ASM1888492v1	Clostridioides difficile		Cd7					GCF_018884925.1-RS_2025_02_28	Complete Genome	2021-06-15		4
GCF_003313545.1	ASM331354v1	Clostridioides difficile		DSM 27638					GCF_003313545.1-RS_2025_02_28	Complete Genome	2018-07-11		1
GCF_003313585.1	ASM331358v1	Clostridioides difficile		DSM 27640					GCF_003313585.1-RS_2025_02_28	Complete Genome	2018-07-11		1
GCF_025135955.1	ASM2513595v1	Clostridioides difficile		DSM 104450					GCF_025135955.1-RS_2025_02_27	Complete Genome	2022-09-12		2
GCF_003481905.1	ASM348190v1	Clostridioides difficile		DSM 29688					GCF_003481905.1-RS_2025_02_27	Complete Genome	2018-09-06		1
GCF_018884765.1	ASM1888476v1	Clostridioides difficile		Cd14					GCF_018884765.1-RS_2025_02_27	Complete Genome	2021-06-15		2
GCF_044324745.1	ASM4432474v1	Clostridioides difficile		7cd					GCF_044324745.1-RS_2025_03_16	Complete Genome	2024-11-04		1
GCF_040436335.1	ASM4043633v1	Clostridioides difficile		ATCC 43600					GCF_040436335.1-RS_2024_07_02	Complete Genome	2024-07-02		1
GCF_037918655.1	ASM3791865v1	Clostridioides difficile		Z1322PCD0055					GCF_037918655.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_003490105.1	ASM349010v1	Clostridioides difficile		DSM 28668					GCF_003490105.1-RS_2025_02_28	Complete Genome	2018-09-07		1
GCF_003482255.1	ASM348225v1	Clostridioides difficile		DSM 29627					GCF_003482255.1-RS_2025_02_28	Complete Genome	2018-09-06		1
GCF_028743315.1	ASM2874331v1	Clostridioides difficile		P4D3A1-1					GCF_028743315.1-RS_2025_02_28	Complete Genome	2023-02-20		1
GCF_018255775.1	ASM1825577v1	Clostridioides difficile		2015					GCF_018255775.1-RS_2025_02_28	Complete Genome	2021-05-04		1
GCF_049244555.1	DSM100002_HGAP3_1SC	Clostridioides difficile		DSM 100002					GCF_049244555.1-RS_2025_04_03	Complete Genome	2025-04-04		1
GCF_018884905.1	ASM1888490v1	Clostridioides difficile		Cd8					GCF_018884905.1-RS_2025_02_28	Complete Genome	2021-06-15		4
GCF_003482035.1	ASM348203v1	Clostridioides difficile		DSM 28196					GCF_003482035.1-RS_2025_02_28	Complete Genome	2018-09-06		1
GCF_018884845.1	ASM1888484v1	Clostridioides difficile		Cd11					GCF_018884845.1-RS_2025_02_28	Complete Genome	2021-06-15		5
GCF_025758145.1	ASM2575814v1	Clostridioides difficile		R_cdtRstop8					GCF_025758145.1-RS_2025_02_28	Complete Genome	2022-10-19		1
GCF_025758185.1	ASM2575818v1	Clostridioides difficile		R_cdtRmut6.1					GCF_025758185.1-RS_2025_02_28	Complete Genome	2022-10-19		1
GCF_025758165.1	ASM2575816v1	Clostridioides difficile		R_cdtRstop4.2					GCF_025758165.1-RS_2025_02_28	Complete Genome	2022-10-19		1
GCF_015352015.2	ASM1535201v2	Clostridioides difficile		CDI-24					GCF_015352015.2-RS_2025_02_28	Complete Genome	2023-06-01		3
GCF_025758245.1	ASM2575824v1	Clostridioides difficile		R_cdtRKO10.3					GCF_025758245.1-RS_2025_02_28	Complete Genome	2022-10-19		1
GCF_025758225.1	ASM2575822v1	Clostridioides difficile		R_cdtRKO8.1					GCF_025758225.1-RS_2025_02_28	Complete Genome	2022-10-19		1
GCF_018884745.1	ASM1888474v1	Clostridioides difficile		Cd16					GCF_018884745.1-RS_2025_02_28	Complete Genome	2021-06-15		1
GCF_047551115.1	ASM4755111v1	Clostridioides difficile		500/12					GCF_047551115.1-RS_2025_02_11	Complete Genome	2025-02-11		1
GCF_002945515.1	ASM294551v1	Clostridioides difficile		CD-17-01474					GCF_002945515.1-RS_2025_02_28	Complete Genome	2018-02-12		1
GCF_014236775.1	ASM1423677v1	Clostridioides difficile		DSM 105001					GCF_014236775.1-RS_2025_02_28	Complete Genome	2020-08-18		1
GCF_020097215.1	ASM2009721v1	Clostridioides difficile		FDAARGOS_1528					GCF_020097215.1-RS_2025_02_28	Complete Genome	2021-09-23		4
GCF_049201055.1	118245	Clostridioides difficile		DSM 105802					GCF_049201055.1-RS_2025_04_02	Complete Genome	2025-04-03		1
GCF_049201115.1	118243	Clostridioides difficile		DSM 105800					GCF_049201115.1-RS_2025_04_02	Complete Genome	2025-04-03		1
GCF_034272075.1	ASM3427207v1	Clostridioides difficile		B1_2					GCF_034272075.1-RS_2025_02_28	Complete Genome	2023-12-11		3
GCF_048684835.1	ASM4868483v1	Clostridioides difficile		S3981					GCF_048684835.1-RS_2025_03_20	Complete Genome	2025-03-21		1
GCF_003482225.1	ASM348222v1	Clostridioides difficile		DSM 28670					GCF_003482225.1-RS_2025_02_28	Complete Genome	2018-09-06		1
GCF_018884945.1	ASM1888494v1	Clostridioides difficile		Cd5					GCF_018884945.1-RS_2025_02_28	Complete Genome	2021-06-15		4
GCF_002812585.1	ASM281258v1	Clostridioides difficile		R0104a					GCF_002812585.1-RS_2025_02_28	Complete Genome	2017-12-06		1
GCF_902386365.1	UHGG_MGYG-HGUT-02369	Clostridioides difficile					MGYG-HGUT-02369		GCF_902386365.1-RS_2025_02_28	Complete Genome	2019-08-10		1
GCF_002812625.1	ASM281262v1	Clostridioides difficile		W0022a					GCF_002812625.1-RS_2025_02_28	Complete Genome	2017-12-06		1
GCF_018884865.1	ASM1888486v1	Clostridioides difficile		Cd10					GCF_018884865.1-RS_2025_02_28	Complete Genome	2021-06-15		3
GCF_018884605.1	ASM1888460v1	Clostridioides difficile		Cd29					GCF_018884605.1-RS_2025_03_07	Complete Genome	2021-06-15		1
GCF_034274435.1	ASM3427443v1	Clostridioides difficile		SC084-01-01					GCF_034274435.1-RS_2025_02_28	Complete Genome	2023-12-11		3
GCF_016767095.1	ASM1676709v1	Clostridioides difficile		CD1801					GCF_016767095.1-RS_2025_02_28	Complete Genome	2021-01-28		1
GCF_049244745.1	DSM29640_HGAP3_1SC	Clostridioides difficile		DSM 29640					GCF_049244745.1-RS_2025_04_03	Complete Genome	2025-04-04		1
GCF_049201105.1	118244	Clostridioides difficile		DSM 105801					GCF_049201105.1-RS_2025_04_02	Complete Genome	2025-04-03		1
GCF_009730495.1	ASM973049v1	Clostridioides difficile		FDAARGOS_723					GCF_009730495.1-RS_2025_02_28	Complete Genome	2019-12-05		1
GCF_031359815.1	ASM3135981v1	Clostridioides difficile		M7404					GCF_031359815.1-RS_2025_02_28	Complete Genome	2023-09-12		1
GCF_002945755.1	ASM294575v1	Clostridioides difficile		08-00495					GCF_002945755.1-RS_2025_02_28	Complete Genome	2018-02-12		1
GCF_015351935.2	ASM1535193v2	Clostridioides difficile		CDI-02					GCF_015351935.2-RS_2025_02_27	Complete Genome	2023-06-01		1
GCF_003481965.1	ASM348196v1	Clostridioides difficile		DSM 29632					GCF_003481965.1-RS_2025_02_27	Complete Genome	2018-09-06		1
GCF_037923265.1	ASM3792326v1	Clostridioides difficile		Z1322PCD0001					GCF_037923265.1-RS_2025_04_05	Complete Genome	2024-04-05		2
GCF_036630125.1	cd221108_barcode08	Clostridioides difficile		cd221108_barcode08					GCF_036630125.1-RS_2025_04_09	Complete Genome	2024-04-05		2
GCF_024399435.1	ASM2439943v1	Clostridioides difficile		DSM 104452					GCF_024399435.1-RS_2025_02_28	Complete Genome	2022-07-25		1
GCF_001577795.1	ASM157779v1	Clostridioides difficile		08ACD0030					GCF_001577795.1-RS_2025_02_28	Complete Genome	2016-02-29		1
GCF_037932505.1	ASM3793250v1	Clostridioides difficile		Z1322HCD0045					GCF_037932505.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_025136135.1	ASM2513613v1	Clostridioides difficile		DSM 104451					GCF_025136135.1-RS_2025_02_28	Complete Genome	2022-09-12		1
GCF_048684865.1	ASM4868486v1	Clostridioides difficile		C562					GCF_048684865.1-RS_2025_03_20	Complete Genome	2025-03-21		1
GCF_049532765.1	DSM29636_HGAP3_1SC	Clostridioides difficile		DSM 29636					GCF_049532765.1-RS_2025_04_13	Complete Genome	2025-04-15		1
GCF_018884705.1	ASM1888470v1	Clostridioides difficile		Cd18					GCF_018884705.1-RS_2025_03_07	Complete Genome	2021-06-15		5
GCF_015352115.2	ASM1535211v2	Clostridioides difficile		CDI-30					GCF_015352115.2-RS_2025_02_28	Complete Genome	2023-06-01		1
GCF_037915205.1	ASM3791520v1	Clostridioides difficile		Z1323HCD0021					GCF_037915205.1-RS_2025_04_05	Complete Genome	2024-04-05		2
GCF_037922005.1	ASM3792200v1	Clostridioides difficile		Z1322PCD0018					GCF_037922005.1-RS_2025_04_17	Complete Genome	2024-04-05		2
GCF_047551895.1	ASM4755189v1	Clostridioides difficile		CHK08					GCF_047551895.1-RS_2025_02_11	Complete Genome	2025-02-11		1
GCF_015352045.2	ASM1535204v2	Clostridioides difficile		CDI-22					GCF_015352045.2-RS_2025_02_28	Complete Genome	2023-06-01		3
GCF_037920935.1	ASM3792093v1	Clostridioides difficile		Z1322PCD0027					GCF_037920935.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_015351965.2	ASM1535196v2	Clostridioides difficile		CDI-23					GCF_015351965.2-RS_2025_02_28	Complete Genome	2023-06-01		1
GCF_003482165.1	ASM348216v1	Clostridioides difficile		DSM 29020					GCF_003482165.1-RS_2025_02_28	Complete Genome	2018-09-06		1
GCF_003482125.1	ASM348212v1	Clostridioides difficile		DSM 28669					GCF_003482125.1-RS_2025_02_28	Complete Genome	2018-09-06		1
GCF_049673575.1	ASM4967357v1	Clostridioides difficile		774					GCF_049673575.1-RS_2025_04_17	Complete Genome	2025-04-20		1
GCF_018885105.1	ASM1888510v1	Clostridioides difficile		S-0942					GCF_018885105.1-RS_2025_02_27	Complete Genome	2021-06-15		1
GCF_037941895.1	ASM3794189v1	Clostridioides difficile		Z1322HCD0004					GCF_037941895.1-RS_2025_04_09	Complete Genome	2024-04-05		1
GCF_002007885.1	ASM200788v1	Clostridioides difficile		BR81					GCF_002007885.1-RS_2025_02_28	Complete Genome	2017-02-28		1
GCF_037943445.1	ASM3794344v1	Clostridioides difficile		Z1322PCD0068					GCF_037943445.1-RS_2025_04_09	Complete Genome	2024-04-06		1
GCF_008245165.1	ASM824516v1	Clostridioides difficile		Mta-79					GCF_008245165.1-RS_2025_02_27	Complete Genome	2019-09-03		1
GCF_034273595.1	ASM3427359v1	Clostridioides difficile		SC083-01-01					GCF_034273595.1-RS_2025_02_27	Complete Genome	2023-12-11		2
GCF_003482065.1	ASM348206v1	Clostridioides difficile		DSM 28666					GCF_003482065.1-RS_2025_02_28	Complete Genome	2018-09-06		1
GCF_018884885.1	ASM1888488v1	Clostridioides difficile		Cd9					GCF_018884885.1-RS_2025_02_27	Complete Genome	2021-06-15		1
GCF_037930055.1	ASM3793005v1	Clostridioides difficile		Z1322HCD0081					GCF_037930055.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_002946135.1	ASM294613v1	Clostridioides difficile		10-00253					GCF_002946135.1-RS_2025_02_28	Complete Genome	2018-02-12		1
GCF_002945855.1	ASM294585v1	Clostridioides difficile		12-00011					GCF_002945855.1-RS_2025_02_28	Complete Genome	2018-02-12		1
GCF_002946195.1	ASM294619v1	Clostridioides difficile		09-00072					GCF_002946195.1-RS_2025_02_28	Complete Genome	2018-02-12		1
GCF_042449905.1	ASM4244990v1	Clostridioides difficile		WXL8					GCF_042449905.1-RS_2024_09_30	Complete Genome	2024-10-10		1
GCF_002946035.1	ASM294603v1	Clostridioides difficile		10-00078					GCF_002946035.1-RS_2025_03_07	Complete Genome	2018-02-12		1
GCF_002945945.1	ASM294594v1	Clostridioides difficile		10-00071					GCF_002945945.1-RS_2025_02_28	Complete Genome	2018-02-12		1
GCF_002945665.1	ASM294566v1	Clostridioides difficile		12-00008					GCF_002945665.1-RS_2025_02_28	Complete Genome	2018-02-12		1
GCF_002945415.1	ASM294541v1	Clostridioides difficile		CD-10-00484					GCF_002945415.1-RS_2025_02_28	Complete Genome	2018-02-12		1
GCF_037933585.1	ASM3793358v1	Clostridioides difficile		Z1322HCD0038					GCF_037933585.1-RS_2025_04_05	Complete Genome	2024-04-06		3
GCF_034271255.1	ASM3427125v1	Clostridioides difficile		TS3_3					GCF_034271255.1-RS_2025_02_28	Complete Genome	2023-12-11		1
GCF_037931695.1	ASM3793169v1	Clostridioides difficile		Z1322HCD0068					GCF_037931695.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_037920055.1	ASM3792005v1	Clostridioides difficile		Z1322PCD0033					GCF_037920055.1-RS_2025_04_17	Complete Genome	2024-04-05		2
GCF_003482325.1	ASM348232v1	Clostridioides difficile		DSM 29637					GCF_003482325.1-RS_2025_02_27	Complete Genome	2018-09-06		1
GCF_048684825.1	ASM4868482v1	Clostridioides difficile		C1174					GCF_048684825.1-RS_2025_03_20	Complete Genome	2025-03-21		1
GCF_003482305.1	ASM348230v1	Clostridioides difficile		DSM 29629					GCF_003482305.1-RS_2025_02_28	Complete Genome	2018-09-06		1
GCF_002812605.1	ASM281260v1	Clostridioides difficile		W0023a					GCF_002812605.1-RS_2025_02_28	Complete Genome	2017-12-06		1
GCF_002073735.2	ASM207373v2	Clostridioides difficile		FDAARGOS_267					GCF_002073735.2-RS_2025_02_28	Complete Genome	2018-03-01		3
GCF_037935125.1	ASM3793512v1	Clostridioides difficile		Z1322HCD0027					GCF_037935125.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_018884665.1	ASM1888466v1	Clostridioides difficile		Cd23					GCF_018884665.1-RS_2025_02_28	Complete Genome	2021-06-15		3
GCF_018884825.1	ASM1888482v1	Clostridioides difficile		Cd12					GCF_018884825.1-RS_2025_02_28	Complete Genome	2021-06-15		1
GCF_009362915.1	ASM936291v1	Clostridioides difficile		TW11					GCF_009362915.1-RS_2025_02_28	Complete Genome	2019-10-27		2
GCF_037919485.1	ASM3791948v1	Clostridioides difficile		Z1322PCD0039					GCF_037919485.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_037917855.1	ASM3791785v1	Clostridioides difficile		Z1322PCD0066					GCF_037917855.1-RS_2025_04_05	Complete Genome	2024-04-05		2
GCF_002946535.2	ASM294653v2	Clostridioides difficile		R3					GCF_002946535.2-RS_2025_02_28	Complete Genome	2018-08-10		1
GCF_002946555.2	ASM294655v2	Clostridioides difficile		R2					GCF_002946555.2-RS_2025_02_28	Complete Genome	2018-08-10		1
GCF_002946515.2	ASM294651v2	Clostridioides difficile		R1					GCF_002946515.2-RS_2025_02_28	Complete Genome	2018-08-10		1
GCF_037941545.1	ASM3794154v1	Clostridioides difficile		Z1322HCD0006					GCF_037941545.1-RS_2025_04_05	Complete Genome	2024-04-05		3
GCF_037914975.1	ASM3791497v1	Clostridioides difficile		Z1323HCD0085					GCF_037914975.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_037929155.1	ASM3792915v1	Clostridioides difficile		Z1322HCD0094					GCF_037929155.1-RS_2025_04_05	Complete Genome	2024-04-06		3
GCF_037916535.1	ASM3791653v1	Clostridioides difficile		Z1322PCD0075					GCF_037916535.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_002234355.1	ASM223435v1	Clostridioides difficile		DH/NAP11/106/ST-42					GCF_002234355.1-RS_2025_02_28	Complete Genome	2017-07-27		1
GCF_037933165.1	ASM3793316v1	Clostridioides difficile		Z1322HCD0041					GCF_037933165.1-RS_2025_04_09	Complete Genome	2024-04-05		1
GCF_037914995.1	ASM3791499v1	Clostridioides difficile		Z1323HCD0047					GCF_037914995.1-RS_2025_04_05	Complete Genome	2024-04-05		3
GCF_034272815.1	ASM3427281v1	Clostridioides difficile		J2_1					GCF_034272815.1-RS_2025_02_28	Complete Genome	2023-12-11		2
GCF_037929775.1	ASM3792977v1	Clostridioides difficile		Z1322HCD0087					GCF_037929775.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_016766995.1	ASM1676699v1	Clostridioides difficile		CD9501					GCF_016766995.1-RS_2025_03_03	Complete Genome	2021-01-28		1
GCF_002812645.1	ASM281264v1	Clostridioides difficile		W0003a					GCF_002812645.1-RS_2025_02_28	Complete Genome	2017-12-06		1
GCF_016766955.1	ASM1676695v1	Clostridioides difficile		M120					GCF_016766955.1-RS_2025_02_28	Complete Genome	2021-01-28		1
GCF_037914985.1	ASM3791498v1	Clostridioides difficile		Z1323HCD0065					GCF_037914985.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_037929465.1	ASM3792946v1	Clostridioides difficile		Z1322HCD0092					GCF_037929465.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_017592625.2	ASM1759262v2	Clostridioides difficile		S0756_078					GCF_017592625.2-RS_2025_02_28	Complete Genome	2022-12-22		1
GCF_049532785.1	DSM29753_HGAP3_1SC	Clostridioides difficile		DSM 29753					GCF_049532785.1-RS_2025_04_13	Complete Genome	2025-04-15		1
GCF_003482365.1	ASM348236v1	Clostridioides difficile		DSM 29747					GCF_003482365.1-RS_2025_02_28	Complete Genome	2018-09-06		1
GCF_049532795.1	DSM29752_HGAP2_1SC	Clostridioides difficile		DSM 29752					GCF_049532795.1-RS_2025_04_13	Complete Genome	2025-04-15		1
GCF_016767135.1	ASM1676713v1	Clostridioides difficile		2016					GCF_016767135.1-RS_2025_02_28	Complete Genome	2021-01-28		1
GCF_037942165.1	ASM3794216v1	Clostridioides difficile		Z1322HCD0002					GCF_037942165.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_003697225.1	ASM369722v1	Clostridioides difficile		12038					GCF_003697225.1-RS_2025_02_28	Complete Genome	2018-10-30		2
GCF_016767115.1	ASM1676711v1	Clostridioides difficile		7009825					GCF_016767115.1-RS_2025_02_28	Complete Genome	2021-01-28		1
GCF_037915725.1	ASM3791572v1	Clostridioides difficile		Z1323HCD0018					GCF_037915725.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_037917495.1	ASM3791749v1	Clostridioides difficile		Z1322PCD0067					GCF_037917495.1-RS_2025_04_05	Complete Genome	2024-04-05		2
GCF_037930425.1	ASM3793042v1	Clostridioides difficile		Z1322HCD0073					GCF_037930425.1-RS_2025_04_05	Complete Genome	2024-04-05		3
GCF_037921775.1	ASM3792177v1	Clostridioides difficile		Z1322PCD0023					GCF_037921775.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_037932125.1	ASM3793212v1	Clostridioides difficile		Z1322HCD0061					GCF_037932125.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_037928795.1	ASM3792879v1	Clostridioides difficile		Z1322HCD0096					GCF_037928795.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_003697205.1	ASM369720v1	Clostridioides difficile		CD10010					GCF_003697205.1-RS_2025_02_28	Complete Genome	2018-10-30		1
GCF_037921675.1	ASM3792167v1	Clostridioides difficile		Z1322PCD0024					GCF_037921675.1-RS_2025_04_05	Complete Genome	2024-04-05		2
GCF_037920325.1	ASM3792032v1	Clostridioides difficile		Z1322PCD0031					GCF_037920325.1-RS_2025_04_17	Complete Genome	2024-04-05		3
GCF_037922655.1	ASM3792265v1	Clostridioides difficile		Z1322PCD0012					GCF_037922655.1-RS_2025_04_17	Complete Genome	2024-04-05		3
GCF_009867095.1	ASM986709v1	Clostridioides difficile		CBA7204					GCF_009867095.1-RS_2025_02_28	Complete Genome	2020-01-14		1
GCF_037925435.1	ASM3792543v1	Clostridioides difficile		Z1322HCD0107					GCF_037925435.1-RS_2025_04_05	Complete Genome	2024-04-06		3
GCF_037941305.1	ASM3794130v1	Clostridioides difficile		Z1322HCD0018					GCF_037941305.1-RS_2025_04_05	Complete Genome	2024-04-06		3
GCF_037921315.1	ASM3792131v1	Clostridioides difficile		Z1322PCD0025					GCF_037921315.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_019931025.1	ASM1993102v1	Clostridioides difficile		FDAARGOS_1469					GCF_019931025.1-RS_2025_03_07	Complete Genome	2021-09-12		2
GCF_015732535.1	ASM1573253v1	Clostridioides difficile		DSM 101085					GCF_015732535.1-RS_2025_03_07	Complete Genome	2020-12-03		2
GCF_016767055.1	ASM1676705v1	Clostridioides difficile		CD4401					GCF_016767055.1-RS_2025_02_28	Complete Genome	2021-01-28		1
GCF_037918925.1	ASM3791892v1	Clostridioides difficile		Z1322PCD0052					GCF_037918925.1-RS_2025_04_13	Complete Genome	2024-04-05		7
GCF_016766975.1	ASM1676697v1	Clostridioides difficile		CD9701					GCF_016766975.1-RS_2025_02_28	Complete Genome	2021-01-28		1
GCF_018603475.1	ASM1860347v1	Clostridioides difficile		MT5121					GCF_018603475.1-RS_2025_02_28	Complete Genome	2021-05-31		1
GCF_018603455.1	ASM1860345v1	Clostridioides difficile		MHS-156					GCF_018603455.1-RS_2025_02_28	Complete Genome	2021-05-31		1
GCF_018603395.1	ASM1860339v1	Clostridioides difficile		MT4854					GCF_018603395.1-RS_2025_02_28	Complete Genome	2021-05-31		1
GCF_003697245.1	ASM369724v1	Clostridioides difficile		CD21062					GCF_003697245.1-RS_2025_02_28	Complete Genome	2018-10-30		2
GCF_037915025.1	ASM3791502v1	Clostridioides difficile		Z1323HCD0032					GCF_037915025.1-RS_2025_04_05	Complete Genome	2024-04-05		1
GCF_037927465.1	ASM3792746v1	Clostridioides difficile		Z1322HCD0097					GCF_037927465.1-RS_2025_04_05	Complete Genome	2024-04-05		2
GCF_037917245.1	ASM3791724v1	Clostridioides difficile		Z1322PCD0071					GCF_037917245.1-RS_2025_04_05	Complete Genome	2024-04-05		3
